id,date,time,home_team,away_team,1,X,2
b9ku7AXe,20.01.,20:30,RB Lipsia,Bayern,3.57,3.92,1.9
feZsRVOR,21.01.,15:30,Bochum,Hertha,2.66,3.44,2.52
nVVZSifF,21.01.,15:30,Francoforte,Schalke,1.42,4.77,6.36
d4L9MkXr,21.01.,15:30,Stoccarda,Magonza,2.35,3.49,2.84
x0lq6Un2,21.01.,15:30,Union Berlino,Hoffenheim,2.12,3.42,3.32
QLUwSB9L,21.01.,15:30,Wolfsburg,Friburgo,2.53,3.4,2.67
j3xRUDP2,21.01.,18:30,Colonia,Brema,2.24,3.73,2.89
IcYs8jIk,22.01.,15:30,Dortmund,Augusta,1.36,5.33,7.04
46tVTXv9,22.01.,17:30,Monchengladbach,Leverkusen,2.67,3.92,2.3
